Date,Open,High,Low,Close,Turnover ,Close-High,Close-Avg(High_Low),Turnover_Ratio
26-Sep-18,11145.55,11145.55,10993.05,11053.8,17803.68,-91.75,-15.5,-0.221818497
27-Sep-18,11079.8,11089.45,10953.35,10977.55,22582.86,-111.9,-43.85,0.268437761
28-Sep-18,11008.1,11034.1,10850.3,10930.45,23227.86,-103.65,-11.75,0.028561484
01-Oct-18,10930.9,11035.65,10821.55,11008.3,20391.72,-27.35,79.7,-0.122100788
03-Oct-18,10982.7,10989.05,10843.75,10858.25,21225.59,-130.8,-58.15,0.040892578
04-Oct-18,10754.7,10754.7,10547.25,10599.25,23711.57,-155.45,-51.725,0.117121833
05-Oct-18,10514.1,10540.65,10261.9,10316.45,25254.21,-224.2,-84.825,0.065058535
08-Oct-18,10310.15,10398.35,10198.4,10348.05,22130.94,-50.3,49.675,-0.123673241
09-Oct-18,10390.3,10397.6,10279.35,10301.05,18285.41,-96.55,-37.425,-0.173762615
10-Oct-18,10331.85,10482.35,10318.25,10460.1,19592.59,-22.25,59.8,0.071487596
11-Oct-18,10169.8,10335.95,10138.6,10234.65,21907.13,-101.3,-2.625,0.118133437
12-Oct-18,10331.55,10492.45,10322.15,10472.5,18606.04,-19.95,65.2,-0.150685644
15-Oct-18,10524.2,10526.3,10410.15,10512.5,14372.15,-13.8,44.275,-0.227554601
16-Oct-18,10550.15,10604.9,10525.3,10584.75,15453.03,-20.15,19.65,0.075206563
17-Oct-18,10688.7,10710.15,10436.45,10453.05,17173.14,-257.1,-120.25,0.11131215
19-Oct-18,10339.7,10380.1,10249.6,10303.55,20505.66,-76.55,-11.3,0.194054203
22-Oct-18,10405.85,10408.55,10224,10245.25,17241.94,-163.3,-71.025,-0.159161909
23-Oct-18,10152.6,10222.1,10102.35,10146.8,18114.71,-75.3,-15.425,0.050619014
24-Oct-18,10278.15,10290.65,10126.7,10224.75,19413.24,-65.9,16.075,0.071683731
25-Oct-18,10135.05,10166.6,10079.3,10124.9,23503.76,-41.7,1.95,0.210707744
26-Oct-18,10122.35,10128.85,10004.55,10030,16120.14,-98.85,-36.7,-0.314146332
